城市,年度,财政收入(亿元),财政支出(亿元),住户存款余额(亿元),地区生产总值(亿元)
上海,2006,1576.07,1795.57,8730.0,10825.4
上海,2007,2074.48,2181.68,8745.22,13179.8
上海,2008,2358.75,2593.92,11464.15,14877.1
上海,2009,2540.3,2989.65,13707.32,16181.4
上海,2010,2873.58,3302.89,15650.24,18319.6
上海,2011,3429.83,3914.88,17288.45,20406.1
上海,2012,3743.71,4184.02,19506.7,21774.9
上海,2013,4109.51,4528.61,20486.25,23809.4
上海,2014,4585.55,4923.44,21269.3,25964.5
上海,2015,5519.5,6191.56,23384.73,27821.6
上海,2016,6406.13,6918.94,23639.8,30963.9
上海,2017,6642.26,7547.62,24338.48,34378.3
上海,2018,7108.15,8351.54,27071.74,37769.1
上海,2019,7165.1,8179.28,31727.73,40241.2
上海,2020,7046.3,8102.11,36733.97,41603.9
上海,2021,7771.8,8430.86,41150.4,47059.4
上海,2022,7608.0,9393.0,52638.0,48594.5
上海,2023,8312.5,9638.51,58319.93,51404.5
上海,2024,8374.17,9874.84,63910.99,53759.5
乌鲁木齐,2006,57.04,49.53,678.16,654.3
乌鲁木齐,2007,73.43,68.32,679.53,820.28
乌鲁木齐,2008,100.98,99.35,872.22,1020.35
乌鲁木齐,2009,113.54,133.88,1040.71,1095.0
乌鲁木齐,2010,147.99,159.61,1242.85,1338.5
乌鲁木齐,2011,229.59,238.49,1470.34,1690.03
乌鲁木齐,2012,252.01,295.6,1715.97,2004.1
乌鲁木齐,2013,301.9,353.2,1896.3,2202.85
乌鲁木齐,2014,340.62,404.81,1974.84,2461.47
乌鲁木齐,2015,368.67,446.66,2157.31,2631.64
乌鲁木齐,2016,369.67,417.56,2295.69,2458.98
乌鲁木齐,2017,400.78,458.58,2600.39,2743.82
乌鲁木齐,2018,458.28,659.79,2871.11,3099.77
乌鲁木齐,2019,472.46,620.28,3171.71,3413.0
乌鲁木齐,2020,392.64,536.87,3680.28,3337.0
乌鲁木齐,2021,377.93,419.59,4027.86,3691.57
乌鲁木齐,2022,314.82,455.77,4647.52,3893.22
乌鲁木齐,2023,369.79,504.05,5306.0,4168.0
乌鲁木齐,2024,371.3,465.52,5905.76,4502.16
兰州,2006,33.14,63.13,687.75,638.47
兰州,2007,46.63,83.3,649.66,732.76
兰州,2008,50.86,99.66,823.83,846.28
兰州,2009,57.04,119.83,1089.97,926.0
兰州,2010,72.76,146.93,1295.95,1100.4
兰州,2011,86.49,175.48,1480.16,1360.03
兰州,2012,103.73,202.6,1743.18,1563.8
兰州,2013,124.5,242.34,2021.56,1776.28
兰州,2014,152.33,280.1,2262.94,2000.94
兰州,2015,185.19,344.0,2608.54,2095.99
兰州,2016,215.48,424.16,2796.24,2264.23
兰州,2017,234.2,429.36,2949.27,2523.54
兰州,2018,253.32,465.64,3244.08,2732.94
兰州,2019,233.23,456.66,3571.18,2837.0
兰州,2020,247.13,486.24,3859.63,2887.0
兰州,2021,276.73,484.59,4082.97,3231.29
兰州,2022,220.98,498.8,4569.26,3343.5
兰州,2023,255.33,502.92,5130.17,3487.0
兰州,2024,251.91,547.64,5639.54,3742.25
北京,2006,1117.15,1296.84,8705.6,8618.9
北京,2007,1492.64,1649.5,9155.34,10730.4
北京,2008,1837.32,1959.29,11952.84,12167.6
北京,2009,2026.81,2319.37,14672.1,13335.7
北京,2010,2353.93,2717.32,17003.11,15420.2
北京,2011,3006.28,3245.23,19126.14,17653.3
北京,2012,3314.93,3685.31,21644.9,19568.3
北京,2013,3661.11,4173.66,23086.41,21746.0
北京,2014,4027.16,4524.67,24158.4,23577.5
北京,2015,4723.86,5737.7,23913.97,26034.1
北京,2016,5081.26,6406.77,28012.03,28438.7
北京,2017,5430.79,6824.53,28962.2,31325.9
北京,2018,5785.92,7471.43,34018.96,35161.4
北京,2019,5817.1,7408.19,37309.68,37767.0
北京,2020,5483.89,7116.18,42888.77,38503.6
北京,2021,5932.31,7205.12,47184.31,44350.7
北京,2022,5714.36,7469.15,56915.76,45222.4
北京,2023,6181.1,7971.25,64020.36,47353.7
北京,2024,6372.68,8396.49,70398.15,49670.2
南京,2006,246.44,262.46,1834.88,2773.78
南京,2007,330.19,342.94,1951.16,3283.73
南京,2008,386.56,404.67,2505.33,3775.0
南京,2009,434.51,461.27,3056.35,4230.0
南京,2010,518.8,542.18,3511.85,5130.7
南京,2011,635.0,666.21,3910.2,6145.52
南京,2012,733.02,769.66,4465.37,7201.6
南京,2013,831.31,850.91,4883.29,8011.78
南京,2014,903.49,921.2,5055.77,8820.75
南京,2015,1020.03,1045.57,5535.53,9720.77
南京,2016,1142.6,1173.84,5894.47,10503.02
南京,2017,1271.91,1354.09,6019.7,11715.1
南京,2018,1470.02,1532.72,6914.84,12820.4
南京,2019,1580.03,1658.07,8299.64,14031.0
南京,2020,1637.7,1754.62,9499.25,14818.0
南京,2021,1729.52,1817.73,10636.78,16356.0
南京,2022,1558.21,1828.69,13078.05,16907.85
南京,2023,1619.98,1838.7,15228.95,17421.0
南京,2024,1596.02,1705.26,17091.85,18500.81
南宁,2006,56.62,93.08,681.45,870.15
南宁,2007,70.15,118.0,714.79,1069.01
南宁,2008,191.17,166.08,88.65,1316.21
南宁,2009,120.46,203.55,1116.2,1525.0
南宁,2010,156.1,261.28,1375.89,1800.3
南宁,2011,186.29,302.31,1581.03,2211.4
南宁,2012,229.72,376.51,1863.8,2503.2
南宁,2013,256.25,418.4,2321.16,2803.54
南宁,2014,274.85,465.78,2529.86,3148.3
南宁,2015,297.05,526.72,2700.37,3410.09
南宁,2016,312.79,586.98,2924.55,3703.33
南宁,2017,332.15,646.37,3176.69,4118.83
南宁,2018,358.96,697.99,3542.83,4026.91
南宁,2019,370.93,789.2,3960.31,4507.0
南宁,2020,372.25,819.86,4415.35,4726.0
南宁,2021,392.0,778.0,4878.8,5120.94
南宁,2022,392.68,838.93,5521.82,5218.35
南宁,2023,400.88,816.48,6117.13,5469.0
南宁,2024,381.16,796.99,6713.22,5995.36
南昌,2006,68.11,93.37,733.85,1183.9
南昌,2007,87.22,116.86,744.57,1389.89
南昌,2008,102.15,148.17,955.4,1660.08
南昌,2009,115.88,181.75,1181.82,1838.0
南昌,2010,146.47,232.03,1417.58,2200.1
南昌,2011,187.03,299.37,1603.96,2688.87
南昌,2012,240.02,345.51,1853.57,3000.5
南昌,2013,291.91,419.37,2051.16,3336.03
南昌,2014,342.21,473.16,2149.33,3667.96
南昌,2015,389.34,543.18,2491.39,4000.01
南昌,2016,402.18,583.26,2722.42,4354.99
南昌,2017,417.08,653.12,2869.84,5003.19
南昌,2018,461.75,752.41,3132.05,5274.67
南昌,2019,477.0,834.11,3618.06,5596.0
南昌,2020,483.86,838.17,4278.65,5746.0
南昌,2021,484.83,870.01,4737.98,6650.53
南昌,2022,457.68,939.04,5750.37,7203.5
南昌,2023,500.18,925.55,6641.74,7213.0
南昌,2024,526.21,940.07,7516.14,7800.37
厦门,2006,136.17,159.13,680.82,1168.02
厦门,2007,186.53,198.66,740.0,1387.85
厦门,2008,220.23,238.09,929.44,1560.02
厦门,2009,240.56,268.05,1158.1,1737.0
厦门,2010,289.17,306.95,1384.67,2060.1
厦门,2011,370.77,389.07,1558.74,2539.31
厦门,2012,422.91,460.98,1680.19,2817.1
厦门,2013,490.6,516.74,1950.1,3018.16
厦门,2014,543.8,548.25,1972.02,3273.58
厦门,2015,606.1,651.17,2050.27,3466.03
厦门,2016,647.94,758.64,2172.0,3784.27
厦门,2017,696.87,797.1,2292.06,4351.7
厦门,2018,754.54,892.5,2610.18,4791.41
厦门,2019,768.38,912.98,3062.0,5995.0
厦门,2020,783.94,976.91,3684.39,6384.0
厦门,2021,880.96,1060.0,4197.79,7033.89
厦门,2022,883.81,1088.74,5213.39,7802.66
厦门,2023,932.14,1084.65,5963.18,8066.0
厦门,2024,933.35,1059.2,6546.18,8589.01
合肥,2006,79.4,102.89,624.56,1073.76
合肥,2007,169.32,167.08,673.09,1334.61
合肥,2008,222.08,222.25,852.83,1664.84
合肥,2009,180.9,245.86,1031.81,2102.0
合肥,2010,259.43,317.72,1233.73,2701.6
合肥,2011,338.51,474.89,1689.54,3636.6
合肥,2012,389.5,572.1,2065.57,4164.3
合肥,2013,438.62,630.89,2355.77,4672.91
合肥,2014,500.34,698.79,2539.5,5157.97
合肥,2015,571.54,772.66,3018.54,5660.27
合肥,2016,614.85,859.85,3281.26,6274.38
合肥,2017,655.9,965.34,3489.18,7213.45
合肥,2018,712.49,1004.91,4003.41,7822.91
合肥,2019,745.99,1122.67,4667.22,9409.0
合肥,2020,762.9,1164.35,5589.4,10046.0
合肥,2021,844.22,1223.72,6394.14,11412.8
合肥,2022,909.25,1380.18,7958.04,12013.1
合肥,2023,929.63,1411.34,9387.14,12674.0
合肥,2024,955.01,1581.06,10785.84,13507.69
呼和浩特,2006,45.52,75.5,453.08,900.08
呼和浩特,2007,57.96,100.51,511.38,1101.13
呼和浩特,2008,82.25,133.18,640.56,1316.37
呼和浩特,2009,106.79,165.16,775.89,1644.0
呼和浩特,2010,126.76,177.28,929.81,1865.7
呼和浩特,2011,151.43,255.67,1053.68,2177.27
呼和浩特,2012,178.64,275.32,1243.27,2475.6
呼和浩特,2013,182.02,294.84,1414.62,2710.39
呼和浩特,2014,211.54,310.91,1480.88,2894.05
呼和浩特,2015,247.4,360.65,1683.96,3090.52
呼和浩特,2016,269.65,419.97,1866.01,3173.59
呼和浩特,2017,201.5,403.04,1953.41,2743.72
呼和浩特,2018,204.72,356.74,2174.09,2903.5
呼和浩特,2019,203.12,417.92,2391.64,2791.0
呼和浩特,2020,217.1,438.57,2623.75,2801.0
呼和浩特,2021,228.92,420.75,2893.1,3121.43
呼和浩特,2022,230.87,420.98,3372.46,3329.1
呼和浩特,2023,238.06,592.97,3903.7,3802.0
呼和浩特,2024,255.12,581.61,3771.45,4107.08
哈尔滨,2006,118.29,194.68,1563.83,2094.08
哈尔滨,2007,132.05,232.38,1541.1,2436.8
哈尔滨,2008,164.01,301.27,1916.76,2868.19
哈尔滨,2009,193.36,348.41,2249.55,3175.0
哈尔滨,2010,238.14,452.97,2580.14,3664.9
哈尔滨,2011,300.32,557.14,2896.57,4242.19
哈尔滨,2012,354.72,643.58,3320.67,4550.2
哈尔滨,2013,402.28,709.78,3593.56,5017.05
哈尔滨,2014,423.52,740.08,3768.82,5340.07
哈尔滨,2015,407.73,824.84,4370.42,5751.21
哈尔滨,2016,376.24,876.29,4671.9,6101.61
哈尔滨,2017,368.1,958.47,4938.37,6355.05
哈尔滨,2018,384.37,962.17,5394.26,6300.48
哈尔滨,2019,370.91,1101.14,6291.84,5249.0
哈尔滨,2020,339.57,1162.25,7311.39,5184.0
哈尔滨,2021,365.81,992.08,8187.2,5351.66
哈尔滨,2022,897.2306451612903,1201.092551319648,9645.65,5490.1
哈尔滨,2023,313.07,1080.7,11005.59,5576.0
哈尔滨,2024,337.84,1257.56,12056.26,6016.33
大连,2006,196.14,266.52,1866.49,2569.67
大连,2007,267.98,344.57,1836.99,3130.68
大连,2008,339.07,410.0,2388.97,3858.25
大连,2009,400.23,471.16,2930.65,4350.0
大连,2010,500.83,611.47,3374.82,5158.2
大连,2011,651.13,734.94,3672.21,6150.63
大连,2012,750.11,890.96,4160.47,7002.8
大连,2013,850.16,1083.54,4483.77,7650.79
大连,2014,780.86,989.46,4666.71,7655.58
大连,2015,579.91,910.69,5107.89,7731.64
大连,2016,611.9,870.28,5277.66,6810.2
大连,2017,657.64,919.84,5414.5,7363.92
大连,2018,703.99,1001.49,6039.97,7668.48
大连,2019,692.84,1016.28,6842.29,7002.0
大连,2020,702.68,1001.98,7843.76,7030.0
大连,2021,737.6,980.05,8686.07,7825.95
大连,2022,669.77,991.08,10070.22,8430.95
大连,2023,750.24,1013.5,11390.73,8753.0
大连,2024,774.77,1085.14,12401.49,9516.87
天津,2006,417.05,543.12,2808.1,3592.5
天津,2007,540.44,674.33,3083.07,4229.8
天津,2008,675.62,867.72,3978.04,5278.3
天津,2009,821.99,1124.28,4885.86,5828.6
天津,2010,1068.81,1376.84,5558.23,6991.6
天津,2011,1455.13,1796.33,6123.08,8240.8
天津,2012,1760.02,2143.21,7055.4,9193.0
天津,2013,2079.07,2549.21,7612.31,10075.2
天津,2014,2390.35,2884.7,7916.9,10749.2
天津,2015,2667.11,3232.35,8743.79,10889.2
天津,2016,2723.5,3699.43,9125.38,11487.0
天津,2017,2310.36,3282.54,9558.05,12468.2
天津,2018,2106.24,3103.16,10746.17,13411.1
天津,2019,2410.41,3555.71,12639.64,14097.2
天津,2020,1923.11,3151.35,14865.71,14230.8
天津,2021,2141.06,3152.55,16244.12,16093.2
天津,2022,1846.69,2729.83,19211.25,16588.5
天津,2023,2027.51,3280.42,21996.82,17211.8
天津,2024,2134.2,3627.18,24069.63,17931.3
太原,2006,75.33,95.42,1183.95,1013.65
太原,2007,88.42,155.8,1307.24,1254.94
太原,2008,116.92,152.86,1728.92,1468.09
太原,2009,117.53,159.91,2085.0,1545.0
太原,2010,138.48,189.64,2386.79,1778.1
太原,2011,174.72,239.31,2775.57,2080.12
太原,2012,215.67,277.44,3021.5,2311.4
太原,2013,247.33,319.11,3307.99,2412.87
太原,2014,258.85,322.69,3325.78,2531.09
太原,2015,274.24,419.99,3432.12,2735.34
太原,2016,282.69,424.07,3661.76,2955.6
太原,2017,311.85,479.06,4384.88,3382.18
太原,2018,373.23,542.46,4767.46,3884.48
太原,2019,386.62,610.55,5252.08,4029.0
太原,2020,378.44,647.34,5896.93,4153.0
太原,2021,423.44,628.99,6566.4,5121.61
太原,2022,437.48,715.9,7761.93,5571.17
太原,2023,449.24,777.26,8825.19,5574.0
太原,2024,440.26,744.38,9741.2,5418.87
宁波,2006,257.38,292.7,1752.04,2874.44
宁波,2007,329.12,371.04,1856.08,3435.0
宁波,2008,390.39,439.41,2365.15,3964.05
宁波,2009,432.8,506.08,2901.76,4329.0
宁波,2010,530.93,600.74,3312.17,5163.0
宁波,2011,657.55,750.72,3696.28,6059.24
宁波,2012,725.5,828.44,4175.96,6582.2
宁波,2013,792.81,939.89,4562.36,7128.87
宁波,2014,860.61,1000.86,4780.31,7610.28
宁波,2015,1006.41,1252.64,5302.84,8003.61
宁波,2016,1114.54,1289.26,5689.44,8686.49
宁波,2017,1245.29,1410.6,5902.68,9842.1
宁波,2018,1379.69,1594.1,6561.26,10745.46
宁波,2019,1468.51,1767.89,7475.47,11985.0
宁波,2020,1510.84,1742.09,8522.07,12409.0
宁波,2021,1723.14,1944.42,9387.31,14594.92
宁波,2022,1680.23,2187.81,11749.75,15704.3
宁波,2023,1785.86,2235.09,14282.01,16453.0
宁波,2024,1790.47,2230.37,16255.52,18147.7
广州,2006,427.08,506.79,5562.36,6073.83
广州,2007,523.79,623.69,5855.79,7109.18
广州,2008,621.84,713.35,7111.27,8215.82
广州,2009,702.65,789.92,8214.21,9138.0
广州,2010,872.65,977.32,9302.33,10748.3
广州,2011,979.48,1181.25,10032.62,12423.44
广州,2012,1102.4,1343.65,11310.69,13551.2
广州,2013,1141.8,1386.13,12496.69,15420.14
广州,2014,1243.1,1436.22,12825.64,16706.87
广州,2015,1349.47,1727.72,13602.38,18100.41
广州,2016,1393.64,1943.75,13995.79,19547.44
广州,2017,1536.74,2186.01,14625.63,21503.15
广州,2018,1634.22,2506.18,16042.06,22859.35
广州,2019,1699.04,2865.33,17980.56,23629.0
广州,2020,1722.79,2952.65,20774.13,25019.0
广州,2021,1884.26,3021.18,22768.53,28231.97
广州,2022,1855.1,3022.45,26479.87,28839.0
广州,2023,1945.06,2971.65,29714.95,30356.0
广州,2024,1954.74,2782.5,32394.04,31032.5
成都,2006,186.77,252.24,2411.45,2750.48
成都,2007,286.38,356.05,2466.4,3324.17
成都,2008,354.69,506.43,3264.79,3900.99
成都,2009,387.36,600.97,4233.71,4503.0
成都,2010,526.94,777.38,5071.37,5551.3
成都,2011,680.69,857.87,5944.77,6854.58
成都,2012,780.9,983.85,7060.03,8138.9
成都,2013,898.54,1161.75,8151.59,9108.89
成都,2014,1025.17,1340.0,8976.94,10056.59
成都,2015,1157.64,1468.42,9922.18,10801.16
成都,2016,1175.41,1595.89,10808.0,12170.23
成都,2017,1275.53,1756.66,11970.84,13889.39
成都,2018,1424.16,1837.42,13141.47,15342.77
成都,2019,1482.96,2006.95,14900.55,17013.0
成都,2020,1520.38,2159.48,17084.99,17717.0
成都,2021,1697.63,2237.69,19020.46,19916.98
成都,2022,1722.43,2435.01,22402.78,20817.5
成都,2023,1929.06,2586.83,25768.94,22075.0
成都,2024,1949.5,2610.39,28991.89,23511.34
拉萨,2006,3.9,15.69,6982.807098674521,8119.615425219941
拉萨,2007,5.75,24.62,90.47,121.91
拉萨,2008,8.03,33.02,104.45,142.05
