地区,年度,房地产开发投资额(亿元),房地产施工面积(万平方米),商品房销售额(亿元),商品房销售面积(万平方米)
上海,2006,1275.59,10938.75,3025.4,3025.4
上海,2007,1307.53,10766.72,3694.96,3694.96
上海,2008,1435.73,10784.23,2339.29,2339.29
上海,2009,1462.07,9949.45,3372.45,3372.45
上海,2010,1980.68,11295.03,2060.96,2060.96
上海,2011,2253.83,13033.17,1790.86,1790.86
上海,2012,2381.36,13249.97,1898.46,1898.46
上海,2013,2819.59,13516.58,2382.2,2382.2
上海,2014,3206.48,14690.18,2084.66,2084.66
上海,2015,3468.94,15095.33,2431.36,2431.36
上海,2016,3709.03,15111.24,2705.69,2705.69
上海,2017,3856.53,15362.25,1691.6,1691.6
上海,2018,4033.18,14672.37,1767.01,1767.01
上海,2019,4231.38,14802.97,1696.34,1696.34
上海,2020,4698.75,15740.34,1789.16,1789.16
上海,2021,5035.18,16627.9,1880.45,1880.45
上海,2022,4979.54,16678.19,1852.88,1852.88
上海,2023,6062.04,17618.37,1811.71,1811.71
上海,2024,6228.91,16818.02,1656.86,1656.86
上海,2025,1225.9328978978979,7185.677624060149,1218.4490075187969,1218.4490075187969
乌鲁木齐,2006,53.11,628.64,413.45,413.45
乌鲁木齐,2007,81.8,915.33,498.69,498.69
乌鲁木齐,2008,99.96,1044.0,296.1,296.1
乌鲁木齐,2009,113.3,1288.66,537.27,537.27
乌鲁木齐,2010,143.03,1509.36,444.61,444.61
乌鲁木齐,2011,194.29,1851.72,465.84,465.84
乌鲁木齐,2012,220.69,2390.52,371.61,371.61
乌鲁木齐,2013,270.59,3351.29,535.67,535.67
乌鲁木齐,2014,329.98,3859.0,461.79,461.79
乌鲁木齐,2015,366.87,3755.8,524.96,524.96
乌鲁木齐,2016,362.5,3855.08,582.0,582.0
乌鲁木齐,2017,422.74,4156.16,606.94,606.94
乌鲁木齐,2018,659.15,4605.11,605.3,605.3
乌鲁木齐,2019,544.13,4862.05,657.42,657.42
乌鲁木齐,2020,550.4,5230.52,716.09,716.09
乌鲁木齐,2021,537.77,6056.27,764.16,764.16
乌鲁木齐,2022,311.95,5529.36,449.43,449.43
乌鲁木齐,2023,358.08,5465.92,549.0,549.0
乌鲁木齐,2024,366.65,5155.57,409.01,409.01
乌鲁木齐,2025,1225.9328978978979,7185.677624060149,1218.4490075187969,1218.4490075187969
兰州,2006,53.84,908.06,208.63,208.63
兰州,2007,74.45,983.96,268.98,268.98
兰州,2008,92.43,1088.57,140.17,140.17
兰州,2009,99.08,1259.19,244.03,244.03
兰州,2010,118.28,1467.21,228.21,228.21
兰州,2011,154.84,1724.04,131.09,131.09
兰州,2012,209.74,2342.49,190.35,190.35
兰州,2013,257.44,2622.13,253.46,253.46
兰州,2014,317.08,3284.56,480.36,480.36
兰州,2015,320.56,3800.49,628.12,628.12
兰州,2016,391.15,4010.16,828.79,828.79
兰州,2017,418.26,4140.2,697.93,697.93
兰州,2018,575.22,4314.16,642.42,642.42
兰州,2019,550.67,5137.89,718.44,718.44
兰州,2020,553.77,5058.56,846.48,846.48
兰州,2021,602.76,5576.37,799.58,799.58
兰州,2022,486.45,4794.19,282.23,282.23
兰州,2023,401.54,4351.16,335.75,335.75
兰州,2024,297.31,3782.03,305.75,305.75
兰州,2025,1225.9328978978979,7185.677624060149,1218.4490075187969,1218.4490075187969
北京,2006,1719.87,10483.53,2607.62,2607.62
北京,2007,1995.82,10438.65,2176.57,2176.57
北京,2008,1908.74,10014.32,1335.37,1335.37
北京,2009,2337.71,9719.08,2362.25,2362.25
北京,2010,2901.07,10300.86,1639.53,1639.53
北京,2011,3036.31,12065.38,1439.2,1439.2
北京,2012,3153.44,13122.49,1943.74,1943.74
北京,2013,3483.4,13886.87,1903.11,1903.11
北京,2014,3715.33,13588.08,1454.19,1454.19
北京,2015,4177.05,12993.08,1554.25,1554.25
北京,2016,4000.57,12976.0,1658.93,1658.93
北京,2017,3692.54,12412.74,869.95,869.95
北京,2018,3873.35,12962.61,696.19,696.19
北京,2019,3838.38,12514.99,938.86,938.86
北京,2020,3938.71,13918.64,970.88,970.88
北京,2021,4139.03,14055.32,1107.07,1107.07
北京,2022,4178.46,13333.15,1039.98,1039.98
北京,2023,4202.41,12531.34,1131.82,1131.82
北京,2024,3758.29,11309.53,1118.65,1118.65
北京,2025,1225.9328978978979,7185.677624060149,1218.4490075187969,1218.4490075187969
南京,2006,351.17,3321.96,1010.5,1010.5
南京,2007,445.97,3582.75,1137.88,1137.88
南京,2008,508.17,4097.72,703.55,703.55
南京,2009,595.68,4366.07,1186.94,1186.94
南京,2010,748.35,4570.49,823.17,823.17
南京,2011,871.76,5644.43,767.71,767.71
南京,2012,971.96,6050.06,950.87,950.87
南京,2013,1037.71,6156.48,1222.01,1222.01
南京,2014,1125.49,6540.23,1207.58,1207.58
南京,2015,1429.02,7084.44,1543.16,1543.16
南京,2016,1845.6,7691.41,1558.18,1558.18
南京,2017,2170.21,8163.04,1429.61,1429.61
南京,2018,2354.17,8656.96,1220.73,1220.73
南京,2019,2501.26,9001.67,1320.65,1320.65
南京,2020,2631.4,8663.99,1324.67,1324.67
南京,2021,2719.8,8597.29,1510.95,1510.95
南京,2022,2758.77,7845.46,942.32,942.32
南京,2023,2764.36,7467.23,906.77,906.77
