地区,年份,指标,值
北京,2024,房地产开发投资额,3758.29
天津,2024,房地产开发投资额,1262.23
石家庄,2024,房地产开发投资额,516.11
太原,2024,房地产开发投资额,507.68
呼和浩特,2024,房地产开发投资额,280.92
沈阳,2024,房地产开发投资额,510.47
大连,2024,房地产开发投资额,362.42
长春,2024,房地产开发投资额,412.51
哈尔滨,2024,房地产开发投资额,179.2
上海,2024,房地产开发投资额,6228.91
南京,2024,房地产开发投资额,2190.63
杭州,2024,房地产开发投资额,4222.17
宁波,2024,房地产开发投资额,1873.2
合肥,2024,房地产开发投资额,1582.46
福州,2024,房地产开发投资额,944.55
厦门,2024,房地产开发投资额,976.06
南昌,2024,房地产开发投资额,473.49
济南,2024,房地产开发投资额,1557.55
青岛,2024,房地产开发投资额,1511.79
郑州,2024,房地产开发投资额,1864.33
武汉,2024,房地产开发投资额,3332.08
长沙,2024,房地产开发投资额,1712.98
广州,2024,房地产开发投资额,3066.03
深圳,2024,房地产开发投资额,3219.45
南宁,2024,房地产开发投资额,444.12
海口,2024,房地产开发投资额,442.7
重庆,2024,房地产开发投资额,2565.79
成都,2024,房地产开发投资额,2415.38
贵阳,2024,房地产开发投资额,437.48
昆明,2024,房地产开发投资额,492.74
西安,2024,房地产开发投资额,2144.76
兰州,2024,房地产开发投资额,297.31
西宁,2024,房地产开发投资额,91.95
银川,2024,房地产开发投资额,253.24
乌鲁木齐,2024,房地产开发投资额,366.65
北京,2023,房地产开发投资额,4202.41
天津,2023,房地产开发投资额,1232.04
石家庄,2023,房地产开发投资额,521.01
太原,2023,房地产开发投资额,518.23
呼和浩特,2023,房地产开发投资额,234.58
沈阳,2023,房地产开发投资额,610.86
大连,2023,房地产开发投资额,458.13
长春,2023,房地产开发投资额,551.16
哈尔滨,2023,房地产开发投资额,228.21
上海,2023,房地产开发投资额,6062.04
南京,2023,房地产开发投资额,2764.36
杭州,2023,房地产开发投资额,4400.69
宁波,2023,房地产开发投资额,2218.61
合肥,2023,房地产开发投资额,1544.63
福州,2023,房地产开发投资额,1085.97
厦门,2023,房地产开发投资额,1435.6
南昌,2023,房地产开发投资额,496.63
济南,2023,房地产开发投资额,1489.24
青岛,2023,房地产开发投资额,1729.32
郑州,2023,房地产开发投资额,1863.87
武汉,2023,房地产开发投资额,3446.88
长沙,2023,房地产开发投资额,1888.7
广州,2023,房地产开发投资额,3311.45
深圳,2023,房地产开发投资额,3787.46
南宁,2023,房地产开发投资额,496.41
海口,2023,房地产开发投资额,482.25
重庆,2023,房地产开发投资额,2796.71
成都,2023,房地产开发投资额,2449.59
贵阳,2023,房地产开发投资额,417.78
昆明,2023,房地产开发投资额,634.26
西安,2023,房地产开发投资额,2052.03
兰州,2023,房地产开发投资额,401.54
西宁,2023,房地产开发投资额,113.17
银川,2023,房地产开发投资额,266.42
乌鲁木齐,2023,房地产开发投资额,358.08
北京,2022,房地产开发投资额,4178.46
天津,2022,房地产开发投资额,2127.94
石家庄,2022,房地产开发投资额,767.2
太原,2022,房地产开发投资额,541.41
呼和浩特,2022,房地产开发投资额,219.09
沈阳,2022,房地产开发投资额,940.31
大连,2022,房地产开发投资额,608.84
长春,2022,房地产开发投资额,661.96
哈尔滨,2022,房地产开发投资额,341.05
上海,2022,房地产开发投资额,4979.54
南京,2022,房地产开发投资额,2758.77
杭州,2022,房地产开发投资额,3889.1
宁波,2022,房地产开发投资额,2131.68
合肥,2022,房地产开发投资额,1457.09
福州,2022,房地产开发投资额,1663.87
厦门,2022,房地产开发投资额,1064.78
南昌,2022,房地产开发投资额,787.42
济南,2022,房地产开发投资额,1830.8
青岛,2022,房地产开发投资额,1789.87
郑州,2022,房地产开发投资额,2158.59
武汉,2022,房地产开发投资额,3366.79
长沙,2022,房地产开发投资额,2281.48
广州,2022,房地产开发投资额,3431.9
深圳,2022,房地产开发投资额,3391.54
南宁,2022,房地产开发投资额,743.83
海口,2022,房地产开发投资额,438.09
重庆,2022,房地产开发投资额,3216.87
成都,2022,房地产开发投资额,3271.72
贵阳,2022,房地产开发投资额,753.02
昆明,2022,房地产开发投资额,1487.0
西安,2022,房地产开发投资额,2061.85
兰州,2022,房地产开发投资额,486.45
西宁,2022,房地产开发投资额,169.93
银川,2022,房地产开发投资额,273.8
乌鲁木齐,2022,房地产开发投资额,311.95
北京,2021,房地产开发投资额,4139.03
天津,2021,房地产开发投资额,2769.98
石家庄,2021,房地产开发投资额,951.32
太原,2021,房地产开发投资额,665.47
呼和浩特,2021,房地产开发投资额,270.72
沈阳,2021,房地产开发投资额,1222.61
大连,2021,房地产开发投资额,728.95
长春,2021,房地产开发投资额,1052.34
哈尔滨,2021,房地产开发投资额,531.37
上海,2021,房地产开发投资额,5035.18
南京,2021,房地产开发投资额,2719.8
杭州,2021,房地产开发投资额,3628.33
宁波,2021,房地产开发投资额,2075.59
合肥,2021,房地产开发投资额,1466.42
福州,2021,房地产开发投资额,2248.81
厦门,2021,房地产开发投资额,1069.66
南昌,2021,房地产开发投资额,975.84
济南,2021,房地产开发投资额,1928.0
青岛,2021,房地产开发投资额,1982.34
郑州,2021,房地产开发投资额,3088.88
武汉,2021,房地产开发投资额,3254.62
长沙,2021,房地产开发投资额,2236.88
广州,2021,房地产开发投资额,3626.44
深圳,2021,房地产开发投资额,2979.08
南宁,2021,房地产开发投资额,1359.95
海口,2021,房地产开发投资额,452.45
重庆,2021,房地产开发投资额,4354.96
成都,2021,房地产开发投资额,3142.38
贵阳,2021,房地产开发投资额,1120.05
昆明,2021,房地产开发投资额,2149.06
西安,2021,房地产开发投资额,1975.28
兰州,2021,房地产开发投资额,602.76
西宁,2021,房地产开发投资额,265.78
银川,2021,房地产开发投资额,325.79
乌鲁木齐,2021,房地产开发投资额,537.77
北京,2020,房地产开发投资额,3938.71
天津,2020,房地产开发投资额,2608.54
石家庄,2020,房地产开发投资额,926.49
太原,2020,房地产开发投资额,714.82
呼和浩特,2020,房地产开发投资额,246.89
沈阳,2020,房地产开发投资额,1235.89
大连,2020,房地产开发投资额,753.06
长春,2020,房地产开发投资额,996.07
哈尔滨,2020,房地产开发投资额,622.05
上海,2020,房地产开发投资额,4698.75
南京,2020,房地产开发投资额,2631.4
杭州,2020,房地产开发投资额,3575.33
宁波,2020,房地产开发投资额,1818.88
合肥,2020,房地产开发投资额,1546.99
福州,2020,房地产开发投资额,2070.23
厦门,2020,房地产开发投资额,1055.76
南昌,2020,房地产开发投资额,971.57
济南,2020,房地产开发投资额,1707.63
青岛,2020,房地产开发投资额,2045.12
郑州,2020,房地产开发投资额,3428.78
武汉,2020,房地产开发投资额,2777.15
长沙,2020,房地产开发投资额,1869.88
广州,2020,房地产开发投资额,3293.95
深圳,2020,房地产开发投资额,3537.84
南宁,2020,房地产开发投资额,1378.2
海口,2020,房地产开发投资额,443.67
重庆,2020,房地产开发投资额,4351.96
成都,2020,房地产开发投资额,2847.64
贵阳,2020,房地产开发投资额,1291.37
昆明,2020,房地产开发投资额,2263.71
西安,2020,房地产开发投资额,2064.63
兰州,2020,房地产开发投资额,553.77
西宁,2020,房地产开发投资额,270.4
银川,2020,房地产开发投资额,311.43
乌鲁木齐,2020,房地产开发投资额,550.4
北京,2019,房地产开发投资额,3838.38
天津,2019,房地产开发投资额,2727.82
石家庄,2019,房地产开发投资额,887.64
太原,2019,房地产开发投资额,696.54
呼和浩特,2019,房地产开发投资额,175.22
沈阳,2019,房地产开发投资额,1174.8
大连,2019,房地产开发投资额,711.06
长春,2019,房地产开发投资额,876.79
哈尔滨,2019,房地产开发投资额,620.45
上海,2019,房地产开发投资额,4231.38
南京,2019,房地产开发投资额,2501.26
杭州,2019,房地产开发投资额,3396.75
宁波,2019,房地产开发投资额,1703.59
合肥,2019,房地产开发投资额,1556.08
福州,2019,房地产开发投资额,1812.77
厦门,2019,房地产开发投资额,899.53
南昌,2019,房地产开发投资额,913.04
济南,2019,房地产开发投资额,1489.38
青岛,2019,房地产开发投资额,1803.81
郑州,2019,房地产开发投资额,3349.86
武汉,2019,房地产开发投资额,2966.21
长沙,2019,房地产开发投资额,1672.96
广州,2019,房地产开发投资额,3102.26
深圳,2019,房地产开发投资额,3041.65
南宁,2019,房地产开发投资额,1461.08
海口,2019,房地产开发投资额,480.73
重庆,2019,房地产开发投资额,4439.3
成都,2019,房地产开发投资额,2611.71
贵阳,2019,房地产开发投资额,1175.37
昆明,2019,房地产开发投资额,2096.25
西安,2019,房地产开发投资额,2008.3
兰州,2019,房地产开发投资额,550.67
西宁,2019,房地产开发投资额,290.99
银川,2019,房地产开发投资额,275.35
乌鲁木齐,2019,房地产开发投资额,544.13
北京,2018,房地产开发投资额,3873.35
天津,2018,房地产开发投资额,2424.49
石家庄,2018,房地产开发投资额,1010.71
太原,2018,房地产开发投资额,529.41
呼和浩特,2018,房地产开发投资额,174.25
沈阳,2018,房地产开发投资额,996.72
大连,2018,房地产开发投资额,688.51
长春,2018,房地产开发投资额,778.63
哈尔滨,2018,房地产开发投资额,584.99
上海,2018,房地产开发投资额,4033.18
南京,2018,房地产开发投资额,2354.17
杭州,2018,房地产开发投资额,3068.9
宁波,2018,房地产开发投资额,1587.47
合肥,2018,房地产开发投资额,1527.17
福州,2018,房地产开发投资额,1439.68
厦门,2018,房地产开发投资额,884.58
南昌,2018,房地产开发投资额,890.43
济南,2018,房地产开发投资额,1370.43
青岛,2018,房地产开发投资额,1485.21
郑州,2018,房地产开发投资额,3258.41
武汉,2018,房地产开发投资额,2780.01
长沙,2018,房地产开发投资额,1508.72
广州,2018,房地产开发投资额,2701.93
深圳,2018,房地产开发投资额,2640.71
南宁,2018,房地产开发投资额,1106.36
海口,2018,房地产开发投资额,609.42
重庆,2018,房地产开发投资额,4248.76
成都,2018,房地产开发投资额,2273.16
贵阳,2018,房地产开发投资额,985.26
昆明,2018,房地产开发投资额,1839.79
