地区,年份,商品房销售面积,商品房销售额,房地产开发投资额,房地产施工面积
上海,2006,3025.4,3025.4,1275.59,10938.75
上海,2007,3694.96,3694.96,1307.53,10766.72
上海,2008,2339.29,2339.29,1435.73,10784.23
上海,2009,3372.45,3372.45,1462.07,9949.45
上海,2010,2060.96,2060.96,1980.68,11295.03
上海,2011,1790.86,1790.86,2253.83,13033.17
上海,2012,1898.46,1898.46,2381.36,13249.97
上海,2013,2382.2,2382.2,2819.59,13516.58
上海,2014,2084.66,2084.66,3206.48,14690.18
上海,2015,2431.36,2431.36,3468.94,15095.33
上海,2016,2705.69,2705.69,3709.03,15111.24
上海,2017,1691.6,1691.6,3856.53,15362.25
上海,2018,1767.01,1767.01,4033.18,14672.37
上海,2019,1696.34,1696.34,4231.38,14802.97
上海,2020,1789.16,1789.16,4698.75,15740.34
上海,2021,1880.45,1880.45,5035.18,16627.9
上海,2022,1852.88,1852.88,4979.54,16678.19
上海,2023,1811.71,1811.71,6062.04,17618.37
上海,2024,1656.86,1656.86,6228.91,16818.02
乌鲁木齐,2006,413.45,413.45,53.11,628.64
乌鲁木齐,2007,498.69,498.69,81.8,915.33
乌鲁木齐,2008,296.1,296.1,99.96,1044.0
乌鲁木齐,2009,537.27,537.27,113.3,1288.66
乌鲁木齐,2010,444.61,444.61,143.03,1509.36
乌鲁木齐,2011,465.84,465.84,194.29,1851.72
乌鲁木齐,2012,371.61,371.61,220.69,2390.52
乌鲁木齐,2013,535.67,535.67,270.59,3351.29
乌鲁木齐,2014,461.79,461.79,329.98,3859.0
乌鲁木齐,2015,524.96,524.96,366.87,3755.8
乌鲁木齐,2016,582.0,582.0,362.5,3855.08
乌鲁木齐,2017,606.94,606.94,422.74,4156.16
乌鲁木齐,2018,605.3,605.3,659.15,4605.11
乌鲁木齐,2019,657.42,657.42,544.13,4862.05
乌鲁木齐,2020,716.09,716.09,550.4,5230.52
乌鲁木齐,2021,764.16,764.16,537.77,6056.27
乌鲁木齐,2022,449.43,449.43,311.95,5529.36
乌鲁木齐,2023,549.0,549.0,358.08,5465.92
乌鲁木齐,2024,409.01,409.01,366.65,5155.57
兰州,2006,208.63,208.63,53.84,908.06
兰州,2007,268.98,268.98,74.45,983.96
兰州,2008,140.17,140.17,92.43,1088.57
兰州,2009,244.03,244.03,99.08,1259.19
兰州,2010,228.21,228.21,118.28,1467.21
兰州,2011,131.09,131.09,154.84,1724.04
兰州,2012,190.35,190.35,209.74,2342.49
兰州,2013,253.46,253.46,257.44,2622.13
兰州,2014,480.36,480.36,317.08,3284.56
兰州,2015,628.12,628.12,320.56,3800.49
兰州,2016,828.79,828.79,391.15,4010.16
兰州,2017,697.93,697.93,418.26,4140.2
兰州,2018,642.42,642.42,575.22,4314.16
兰州,2019,718.44,718.44,550.67,5137.89
兰州,2020,846.48,846.48,553.77,5058.56
兰州,2021,799.58,799.58,602.76,5576.37
兰州,2022,282.23,282.23,486.45,4794.19
兰州,2023,335.75,335.75,401.54,4351.16
兰州,2024,305.75,305.75,297.31,3782.03
北京,2006,2607.62,2607.62,1719.87,10483.53
北京,2007,2176.57,2176.57,1995.82,10438.65
北京,2008,1335.37,1335.37,1908.74,10014.32
北京,2009,2362.25,2362.25,2337.71,9719.08
北京,2010,1639.53,1639.53,2901.07,10300.86
北京,2011,1439.2,1439.2,3036.31,12065.38
北京,2012,1943.74,1943.74,3153.44,13122.49
北京,2013,1903.11,1903.11,3483.4,13886.87
北京,2014,1454.19,1454.19,3715.33,13588.08
北京,2015,1554.25,1554.25,4177.05,12993.08
北京,2016,1658.93,1658.93,4000.57,12976.0
北京,2017,869.95,869.95,3692.54,12412.74
北京,2018,696.19,696.19,3873.35,12962.61
北京,2019,938.86,938.86,3838.38,12514.99
北京,2020,970.88,970.88,3938.71,13918.64
北京,2021,1107.07,1107.07,4139.03,14055.32
北京,2022,1039.98,1039.98,4178.46,13333.15
北京,2023,1131.82,1131.82,4202.41,12531.34
北京,2024,1118.65,1118.65,3758.29,11309.53
南京,2006,1010.5,1010.5,351.17,3321.96
南京,2007,1137.88,1137.88,445.97,3582.75
南京,2008,703.55,703.55,508.17,4097.72
南京,2009,1186.94,1186.94,595.68,4366.07
南京,2010,823.17,823.17,748.35,4570.49
南京,2011,767.71,767.71,871.76,5644.43
南京,2012,950.87,950.87,971.96,6050.06
南京,2013,1222.01,1222.01,1037.71,6156.48
南京,2014,1207.58,1207.58,1125.49,6540.23
南京,2015,1543.16,1543.16,1429.02,7084.44
南京,2016,1558.18,1558.18,1845.6,7691.41
南京,2017,1429.61,1429.61,2170.21,8163.04
南京,2018,1220.73,1220.73,2354.17,8656.96
南京,2019,1320.65,1320.65,2501.26,9001.67
南京,2020,1324.67,1324.67,2631.4,8663.99
南京,2021,1510.95,1510.95,2719.8,8597.29
南京,2022,942.32,942.32,2758.77,7845.46
南京,2023,906.77,906.77,2764.36,7467.23
南京,2024,930.12,930.12,2190.63,7180.39
南宁,2006,456.0,456.0,139.07,1751.86
南宁,2007,628.84,628.84,187.46,2116.78
南宁,2008,497.23,497.23,202.46,2231.86
南宁,2009,731.74,731.74,226.73,2620.22
南宁,2010,669.4,669.4,322.82,3183.12
南宁,2011,711.73,711.73,392.42,3563.05
南宁,2012,629.01,629.01,362.73,3747.04
南宁,2013,702.6,702.6,416.37,3812.35
南宁,2014,802.57,802.57,551.82,4519.36
南宁,2015,1000.73,1000.73,657.19,5174.93
南宁,2016,1327.53,1327.53,854.0,6191.24
南宁,2017,1544.13,1544.13,958.09,7171.62
南宁,2018,1745.19,1745.19,1106.36,8129.81
南宁,2019,1805.23,1805.23,1461.08,9704.05
南宁,2020,1837.59,1837.59,1378.2,10712.49
南宁,2021,1494.08,1494.08,1359.95,11246.52
南宁,2022,1324.72,1324.72,743.83,10381.45
南宁,2023,952.23,952.23,496.41,9555.77
南宁,2024,807.38,807.38,444.12,7167.26
南昌,2006,383.51,383.51,110.75,1341.06
南昌,2007,478.99,478.99,125.6,1525.59
南昌,2008,335.48,335.48,163.3,1825.93
南昌,2009,494.69,494.69,198.25,1782.03
南昌,2010,520.84,520.84,230.15,2146.18
南昌,2011,499.13,499.13,279.89,2610.34
南昌,2012,689.86,689.86,344.36,3123.29
南昌,2013,841.49,841.49,406.14,3992.51
南昌,2014,824.66,824.66,414.07,4244.74
南昌,2015,901.02,901.02,485.37,4458.93
南昌,2016,1244.65,1244.65,674.6,4982.72
南昌,2017,1610.43,1610.43,790.69,5948.81
南昌,2018,1846.31,1846.31,890.43,6093.95
南昌,2019,1906.13,1906.13,913.04,6611.93
南昌,2020,1770.83,1770.83,971.57,6068.95
南昌,2021,2019.49,2019.49,975.84,5927.1
南昌,2022,1390.7,1390.7,787.42,4982.65
南昌,2023,717.77,717.77,496.63,4728.09
南昌,2024,690.05,690.05,473.49,3987.07
厦门,2006,433.27,433.27,213.93,1996.95
厦门,2007,497.7,497.7,345.74,2838.78
厦门,2008,389.47,389.47,327.02,3447.88
厦门,2009,529.29,529.29,267.42,3094.96
厦门,2010,426.77,426.77,396.13,3089.12
厦门,2011,445.39,445.39,438.12,3513.17
厦门,2012,615.34,615.34,518.88,3579.73
厦门,2013,786.71,786.71,531.8,3785.86
厦门,2014,790.21,790.21,704.06,4219.86
厦门,2015,570.83,570.83,774.07,4333.83
厦门,2016,528.86,528.86,765.8,4312.2
厦门,2017,527.88,527.88,879.86,4287.7
厦门,2018,529.42,529.42,884.58,4343.24
厦门,2019,540.77,540.77,899.53,4089.16
厦门,2020,621.82,621.82,1055.76,3616.04
厦门,2021,593.04,593.04,1069.66,3661.02
厦门,2022,607.63,607.63,1064.78,3514.91
厦门,2023,603.79,603.79,1435.6,3443.31
厦门,2024,484.68,484.68,976.06,3234.48
合肥,2006,650.31,650.31,281.81,2504.14
合肥,2007,1042.69,1042.69,387.53,3169.31
合肥,2008,933.13,933.13,567.16,4020.39
合肥,2009,1297.95,1297.95,670.36,4751.29
合肥,2010,1004.7,1004.7,819.03,5338.63
合肥,2011,1245.98,1245.98,889.6,5699.53
合肥,2012,1242.48,1242.48,913.8,6071.64
合肥,2013,1628.09,1628.09,1105.81,7015.32
合肥,2014,1594.79,1594.79,1127.35,6986.81
合肥,2015,1589.21,1589.21,1259.14,7199.3
合肥,2016,2098.34,2098.34,1352.59,7818.54
合肥,2017,1283.4,1283.4,1557.41,8283.56
合肥,2018,1389.58,1389.58,1527.17,8233.22
